endereco|latitude|longitude
1100 E 5th St. Austin, TX, EUA|30.2641027|-97.7315921
516 E 6th St. Austin, TX, EUA|30.266797|-97.73756449999999
307 E 2nd St. Austin, TX, EUA|30.26323|-97.74126710000002
505 E 7th St. Austin, TX, EUA|30.2672791|-97.7375539
200 E 8th St. Austin, TX, EUA|30.2697161|-97.7402698
90 Rainey St. Austin, TX, EUA|30.2603052|-97.7384663
75 1/2 Rainey St. Austin, TX, EUA|30.2585956|-97.7385936
201 Colorado St, Austin, TX 78701. Austin, TX, EUA|30.2647718|-97.7451078
400-B W 2nd St. Austin, TX, EUA|30.2656698|-97.7478443
713 Congress Ave. Austin, TX, EUA|30.2693519|-97.7418824
301 E 8th St. Austin, TX, EUA|30.2685025|-97.739164
202 S Lamar. Austin, TX, EUA|30.2639432|-97.75768959999999
500 N Interstate 35. Austin, TX, EUA|30.2652736|-97.7355238
720 Red River St. Austin, TX, EUA|30.26828699999999|-97.73675999999999
912 Red River St. Austin, TX, EUA|30.2701568|-97.7360368
505 E 6th St. Austin, TX, EUA|30.2664217|-97.73804100000001
500 E 4th St. Austin, TX, EUA|30.2650555|-97.7384697
110 E 2nd St. Austin, TX, EUA|30.2645713|-97.74319799999999
711 1/2 Red River St. Austin, TX, EUA|30.2603929|-97.7393064
300 W 21st St, Austin, TX 78712 Austin, TX, EUA|30.2843324|-97.741221
405 E 7th St. Austin, TX, EUA|30.2676617|-97.73865719999999
84 Rainey St. Austin, TX, EUA|30.2595181|-97.7387103
1701 South Congress Ave Austin, TX, EUA|30.2467913|-97.7503494
700 San Jacinto Blvd. Austin, TX, EUA|30.2689471|-97.7403971
1323 S. Congress Ave. Austin, TX, EUA|30.25030509999999|-97.74921820000002
71 Trinity St. Austin, TX, EUA|30.2620726|-97.7411692
702 E 10th St. Austin, TX, EUA|30.2698328|-97.73435889999999
121 E 5th St. Austin, TX, EUA|30.2666203|-97.74205359999999
204 E 4th St. Austin, TX, EUA|30.2660426|-97.7417976
214 E 6th St. Austin, TX, EUA|30.2678099|-97.7406942
900 Red River St. Austin, TX, EUA|30.26960979999999|-97.73635829999999
416 Congress Ave.  Austin, TX, EUA|30.2669225|-97.74358
500 West 2nd St Austin, TX, EUA|30.2660754|-97.7495642
411 W Monroe St, Austin, TX 78704 Austin, TX, EUA|30.2487212|-97.75444519999999
94 Rainey St. Austin, TX, EUA|30.2606735|-97.73829649999999
401 Sabine St. Austin, TX, EUA|30.2645624|-97.7365355
604 Brazos St. Austin, TX, EUA|30.2681502|-97.74175509999999
310 E 3rd St. Austin, TX, EUA|30.264574|-97.74050319999999
1320 S Lamar Blvd. Austin, TX, EUA|30.25353389999999|-97.7635504
300 Lockwood Rd, Red Rock, TX 78662 Austin, TX, EUA|29.94149149999999|-97.3867875
617 E 7th St. Austin, TX, EUA|30.2669824|-97.7361323
6th & Trinity St. Austin, TX, EUA|30.267068|-97.739335
75 Rainey StAustin, TX 78701 Austin, TX, EUA|30.2584046|-97.7386042
700 Congress Ave. Austin, TX, EUA|30.269273|-97.74283729999999
816 Congress Ave Austin, TX, EUA|30.2707449|-97.7425615
101 Red River. Austin, TX, EUA|30.26204559999999|-97.7381328
604 Driskill St. Austin, TX, EUA|30.261279|-97.738179
617 Red River. Austin, TX, EUA|30.2672528|-97.7366734
1120 S Lamar Blvd. Austin, TX, EUA|30.2561977|-97.7635717
1308 E 4th St. Austin, TX, EUA|30.2621409|-97.72938549999999
1315 S Congress Ave. Austin, TX, EUA|30.2504975|-97.74903359999999
701 Brazos St Austin, TX, EUA|30.2688755|-97.7405641
400 Nueces St. Austin, TX, EUA|30.2681085|-97.7492671
305 W 6th St. Austin, TX, EUA|30.2685934|-97.74561709999999
603 Red River St. Austin, TX, EUA|30.266722|-97.7369856
400 W 2nd St A, Austin, TX 78701. Austin, TX, EUA|30.2656084|-97.7478026
