address|latitude|longitude
610 E 6th St. Austin, TX, EUA|30.2665517|-97.73659909999999
516 E 6th St. Austin, TX, EUA|30.266797|-97.73756449999999
605 Davis St. Austin, TX, EUA|30.2598906|-97.73903920000001
2300 Rosewood Ave. Austin, TX, EUA|30.2710358|-97.714897
807 E 4th St Austin, TX, EUA|30.2635083|-97.7346683
2415 E 5th St Austin, TX, EUA|30.2578896|-97.71568789999999
92 Rainey St. Austin, TX, EUA|30.2605012|-97.7383708
242 W 2nd St. Austin, TX, EUA|30.2651039|-97.7461292
1701 South Congress Ave Austin, TX, EUA|30.2467913|-97.7503494
705 Trinity . Austin, TX, EUA|30.268301|-97.73860099999999
500 N Interstate 35. Austin, TX, EUA|30.2652736|-97.7355238
121 E 5th St. Austin, TX, EUA|30.2666203|-97.74205359999999
604 Driskill St. Austin, TX, EUA|30.261279|-97.738179
700 E 6th St Austin, TX, EUA|30.2663066|-97.73586309999999
300 E 6th. Austin, TX, EUA|30.267582|-97.740155
500 E 4th St. Austin, TX, EUA|30.2650555|-97.7384697
110 E 2nd St. Austin, TX, EUA|30.2645713|-97.74319799999999
419 Congress Ave. Austin, TX, EUA|30.266849|-97.742784
78 Rainey St . Austin, TX, EUA|30.2590234|-97.73893310000001
615 Red River St. Austin, TX, EUA|30.2671738|-97.736684
700 San Jacinto Blvd. Austin, TX, EUA|30.2689471|-97.7403971
340 E 2nd St Austin, TX, EUA|30.2637689|-97.7408639
1501 Red River St Austin, TX, EUA|30.2755307|-97.7335293
6259 Middle Fiskville Rd Austin, TX, EUA|30.3243646|-97.7086944
300 E 4th St. Austin, TX, EUA|30.2655533|-97.7402274
111 Congress Plaza Level Austin, TX, EUA|30.2635186|-97.74358
333 E 2nd st. Austin, TX, EUA|30.26319519999999|-97.74109729999999
710 W Cesar Chavez St. Austin, TX, EUA|30.26592789999999|-97.7517604
313 Red River St. Austin, TX, EUA|30.26409|-97.73786899999999
701 W Riverside Dr. Austin, TX, EUA|30.2602363|-97.7509082
900 Barton Springs Rd. Austin, TX, EUA|30.2606889|-97.7527899
77 Rainey St. Austin, TX, EUA|30.2587207|-97.73856169999999
1120 S Lamar Blvd. Austin, TX, EUA|30.2561977|-97.7635717
75 Rainey St Austin, TX, EUA|30.2584046|-97.7386042
912 Red River St. Austin, TX, EUA|30.2701568|-97.7360368
88 Rainey St. Austin, TX, EUA|30.2599741|-97.7387633
1320 S Lamar Blvd. Austin, TX, EUA|30.25353389999999|-97.7635504
505 E 6th St. Austin, TX, EUA|30.2664217|-97.73804100000001
500 Cesar Chavez, entrance at Cesar Chavez and Red River. Austin, TX, EUA|30.2642649|-97.7392938
301 W 2nd St. Austin, TX, EUA|30.2650449|-97.7471051
613 W 6th St . Austin, TX, EUA|30.2697022|-97.7492034
816 Congress Ave Austin, TX, EUA|30.2707449|-97.7425615
301 E 8th St. Austin, TX, EUA|30.2685025|-97.739164
1100 E 5th St. Austin, TX, EUA|30.2641027|-97.7315921
101 Red River. Austin, TX, EUA|30.26204559999999|-97.7381328
400 Nueces St. Austin, TX, EUA|30.2681085|-97.7492671
217 W. 2nd St.  Austin, TX, EUA|30.2646058|-97.7460203
200 Lavaca St. Austin, TX, EUA|30.2655492|-97.7466255
208 W 4th St. Austin, TX, EUA|30.2669402|-97.74517150000001
609 Davis St. Austin, TX, EUA|30.2600314|-97.7385511
310 E 5th ST. Austin, TX, EUA|30.2666201|-97.7403752
346 Red River. Austin, TX, EUA|30.2642696|-97.73800039999999
200 E 8th St. Austin, TX, EUA|30.2697161|-97.7402698
500 E Cesar Chavez Austin, TX, EUA|30.2642649|-97.7392938
1808 E Cesar Chavez St. Austin, TX, EUA|30.2573874|-97.7249305
409 E 5th St. Austin, TX, EUA|30.2656768|-97.7391251
512 San Jacinto St. Austin, TX, EUA|30.2670696|-97.7407154
204 E 4th St. Austin, TX, EUA|30.2660426|-97.7417976
412 Congress Ave. Austin, TX, EUA|30.2668465|-97.74372849999999
405 E 7th St. Austin, TX, EUA|30.2676617|-97.73865719999999
201 E 6th St. Austin, TX, EUA|30.2673268|-97.7412883
